ALDS001,Eta,CAS
ALDS002,65,PSC
ALDS003,Psi-1,PSC
ALDS004,Zeta,PSC
ALDS005,Gamma,ARI
ALDS006,Lambda,ARI
ALDS007,Alpha,PSC
ALDS008,Gamma,AND
ALDS009,Iota,TRI
ALDS010,Alpha,UMI
ALDS011,Gamma,CET
ALDS012,Eta,PER
ALDS013,331,Struve
ALDS014,32,ERI
ALDS015,Chi,TAU
ALDS016,1,CAM
ALDS017,55,ERI
ALDS018,Beta,ORI
ALDS019,118,TAU
ALDS020,Delta,ORI
ALDS021,747,Struve
ALDS022,Lambda,ORI
ALDS023,Theta-1,ORI
ALDS024,Iota,ORI
ALDS025,Theta-2,ORI
ALDS026,Sigma,ORI
ALDS027,Zeta,ORI
ALDS028,Gamma,LEP
ALDS029,Theta,AUR
ALDS030,Epsilon,MON
ALDS031,Beta,MON
ALDS032,12,LYN
ALDS033,Epsilon,CMA
ALDS034,Delta,GEM
ALDS035,19,LYN
ALDS036,Alpha,GEM
ALDS037,Kappa,PUP
ALDS038,Zeta,CNC
ALDS039,Iota,CNC
ALDS040,38,LYN
ALDS041,Alpha,LEO
ALDS042,Gamma,LEO
ALDS043,54,LEO
ALDS044,N,HYA
ALDS045,Delta,CRV
ALDS046,24,COM
ALDS047,Gamma,VIR
ALDS048,32,CAM
ALDS049,Alpha,CVN
ALDS050,Zeta,UMA
ALDS051,Kappa,BOO
ALDS052,Iota,BOO
ALDS053,Pi,BOO
ALDS054,Epsilon,BOO
ALDS055,Alpha,LIB
ALDS056,Xi,BOO
ALDS057,Delta,BOO
ALDS058,Mu,BOO
ALDS059,Delta,SER
ALDS060,Zeta,CRB
ALDS061,Xi,SCO
ALDS062,1999,Struve
ALDS063,Beta,SCO
ALDS064,Kappa,HER
ALDS065,Nu,SCO
ALDS066,Sigma,CRB
ALDS067,17,DRA
ALDS068,Mu,DRA
ALDS069,Alpha,HER
ALDS070,Delta,HER
ALDS071,36,OPH
ALDS072,Omicron,OPH
ALDS073,Rho,HER
ALDS074,Nu,DRA
ALDS075,Psi,DRA
ALDS076,41,DRA
ALDS077,95,HER
ALDS078,70,OPH
ALDS079,Epsilon,LYR
ALDS080,Zeta,LYR
ALDS081,Beta,LYR
ALDS082,2404,Struve
ALDS083,525,Struve
ALDS084,Theta,SER
ALDS085,Beta,CYG
ALDS086,57,AQL
ALDS087,31,CYG
ALDS088,Alpha,CAP
ALDS089,Beta,CAP
ALDS090,Gamma,DEL
ALDS091,61,CYG
ALDS092,Beta,CEP
ALDS093,2816,Struve
ALDS094,Epsilon,PEG
ALDS095,Xi,CEP
ALDS096,Zeta,AQR
ALDS097,Delta,CEP
ALDS098,8,LAC
ALDS099,94,AQR
ALDS100,Sigma,CAS
