20001,4 AND,Herschel 1849,0,23 07.7, 46 22,AND,,5.6,12,48.2,347,9,88,K5,1925,16526,
20002,8 AND,Burnham 717,0,23 17.7, 49 00,AND,AB,5,13,7.6,161,9,58/ 88,M,1878,16656,
20003,8-AC AND,Burnham 717-AC,0,23 17.7, 49 00,AND,AC,5,10.3,219.4,131,9,58/ 88,M,1880,16656,
20004,12 AND,,0,23 20.9, 38 11,AND,AB,5.8,9.2,121.1,256,9,88/ 124,F5,1890,,
20005,26 AND,StruveO 5,0,00 18.7, 43 47,AND,,6,9.7,6.2,240,4,59,B9,1847,254,
20006,28 AND,Burnham 1095,0,00 30.1, 29 45,AND,AC,5.3,11.4,139.3,130,4,90,F0,1912,409,A is a Delta Scuti-type var; GN And.
20007,36 AND,Struve 73,0,00 54.9, 23 37,AND,AB,6.1,6.7,0.6,265,4,127,K0,1983,755,P = 165 yr.; a = 1.01''; motion direct.
20008,39 AND,Herschel 1064,0,01 02.9, 41 20,AND,,5.9,12.3,20.1,4,4,60,A2,1902,863,
20009,45 AND,Hough 215,0,01 11.2, 37 43,AND,,6.6,6.6,0.4,280,4,91,B8,1886,,Single 1903; 1906 (DOO) 1907 (A).
20010,55 AND,Herschel 1094,0,01 53.3, 40 43,AND,,5.6,10.9,59.8,356,4,61,K0,1879,,
20011,56 AND,Struve 4,0,01 56.1, 37 15,AND,AB,5.8,6.1,196.6,298,4,92,K0,1973,1534,STF 4; App I.
20012,59 AND,Struve 222,0,02 10.9, 39 02,AND,,6,6.7,16.7,36,4,62/ 92,A0,1831,1683,Y/B.  FIXED
20013,65 AND,,0,02 25.6, 50 17,AND,AB,4.9,12.9,49.6,304,1,37/ 62,K5,1963,,
20014,ALPHA AND,Herschel 32,0,00 08.4, 29 05,AND,,2.2,11.4,81.5,280,4,89,A0,1954,94,H V 32. A is a sp-bin.
20015,BETA AND,Barnard 1,0,01 09.7, 35 37,AND,AC,2.4,12.9,94.8,273,4,91,M,1937,949,
20016,BETA-AD AND,Barnard 1-AD,0,01 09.7, 35 37,AND,AD,2.4,12.1,80.4,144,4,91,M,1938,949,
20017,DELTA AND,Burnham 491,0,00 39.3, 30 52,AND,AB,3.5,13,28.7,298,4,90,K2,1934,548,A is a long-period sp-bin.
20018,GAMMA AND,Struve 205,0,02 03.9, 42 20,AND,AXBC,2.3,5,9.8,63,4,61/ 62,K0,1967,1630,Y/B GOOD COLOR CONTRAST
20019,GAMMA-BC AND,StruveO 38,0,02 03.9, 42 20,AND,BC,5.5,6.3,0.3,121,4,61/ 62,A0,1967,1630,
20020,KAPPA AND,Herschel 1898,0,23 40.4, 44 20,AND,AB,4.3,11.3,46.8,194,9,59,A0,1923,16916,Optical.
20021,KAPPA-AC AND,Herschel 1898-AC,0,23 40.4, 44 20,AND,AC,4.3,11.3,107,294,9,59,A0,1923,16916,
20022,LAMBDA AND,Lewis AND,0,23 37.6, 46 28,AND,AC,4,10.5,217.6,89,9,59/ 88,K0,1908,,A is a sp-bin light var. AB is optical.
20023,MU AND,Herschel 1057,0,00 56.7, 38 29,AND,AB,3.9,12.9,42.2,307,4,60/ 90/ 91,A2,1924,788,
20024,MU-AC AND,Herschel 1057-AC,0,00 56.7, 38 29,AND,AC,3.9,11.4,34.2,126,4,60/ 90/ 91,A2,1924,788,
20025,MU-AD AND,Herschel 1057-AD,0,00 56.7, 38 29,AND,AD,3.9,9.8,266.7,40,4,60/ 90/ 91,A2,1959,788,
20026,OMEGA AND,Burnham 999,0,01 27.6, 45 24,AND,AB,5,11.7,1.8,118,4,61,F5,1967,1152,
20027,OMEGA-AC AND,Burnham 999-AC,0,01 27.6, 45 24,AND,AC,5,10.4,119,111,4,61,F5,1925,1152,
20028,PI AND,Herschel 17,0,00 36.8, 33 43,AND,AB,4.4,8.9,35.9,173,4,90,B3,1821,513,H V 17. BDS 263; HJ 1030 identical. A is a sp-bin. W/B
20029,PI-AC AND,Herschel 17-AC,0,00 36.8, 33 43,AND,AC,4.4,11.4,55.2,357,4,90,B3,1879,513,
20030,TAU AND,,0,01 40.6, 40 34,AND,,4.9,10.1,48.9,329,4,61,B8,1880,1311,A is a sp-bin. Var?
20031,THETA-AB CAS,,0,01 10.7, 42 57,AND,AB,7.8,9.9,155.4,298,4,60/ 61,K0,1893,,A is a sp-bin.
20032,UPSILON AND,,0,01 36.9, 41 24,AND,AB,4.2,12.6,114,128,4,61,G0,1909,,A is a sp-bin.
20033,ZETA AND,,0,00 47.3, 24 15,AND,AD,4.3,10.8,162.7,259,4,126/ 127,K0,1959,,A is an ecl-bin. AB is optical.
20034,AG 291,,1,23 15.0, 35 56,AND,AB,8.5,10.6,20,237,9,124,F8,1902,,
20035,AG 291-AC,,1,23 15.0, 35 56,AND,AC,8.6,10.2,43.9,234,9,124,F8,1902,,
20036,AG 42,,1,02 34.3, 40 17,AND,,9,9.5,6.3,144,4,62,A2,1894,1950,
20037,Aitken 1255,,1,00 14.4, 43 50,AND,,8.1,10.9,4.1,348,4,59,F8,1893,179,
20038,Aitken 1478,,1,23 00.3, 37 21,AND,,8.5,12,3.5,39,9,123/ 124,A2,1906,16438,
20039,Aitken 1487,,1,23 29.2, 40 42,AND,,9,9.5,0.9,164,9,88,F8,1906,16785,
20040,Aitken 1504,,1,00 28.7, 37 18,AND,AB,9,9,0.4,36,4,90,A5,1978,382,
20041,Aitken 1526,,1,01 57.7, 44 33,AND,,8.7,8.8,0.2,269,4,61/ 62,A0,1982,1554,
20042,Aitken 1527,,1,02 01.4, 43 40,AND,,8.7,12,5,238,4,61/ 62,A2,1907,1603,
